baitID	preyID	N
234583	234586	159
252022	252025	142
608973	608971	134
577412	577411	130
234583	234585	123
608973	608977	117
234583	234584	101
234583	234581	89
608973	608976	89
608973	608974	82
188056	188054	78
252022	252026	77
608973	608978	75
608973	608970	74
252022	252024	71
158037	158038	70
158037	158041	70
465996	465999	68
465996	465998	65
158037	158036	62
465996	465994	61
234583	234649	56
777254	777256	56
96744	96746	54
234583	234580	54
608973	608975	54
608973	608979	54
116442	116441	50
234583	234578	48
608973	608981	47
116442	116443	46
116442	116440	45
234583	234579	45
96744	96738	44
96744	96745	44
116442	116444	44
252022	252023	43
234583	234587	42
234583	234648	41
255348	255350	41
608973	608972	41
754400	754402	41
96744	96742	39
608973	608980	39
234583	234576	38
234583	234588	38
608973	608982	38
465996	465995	37
608973	608937	37
234583	234646	36
67868	67870	35
96744	96737	35
96744	96741	35
234583	234592	35
754400	754398	35
96744	96748	34
234583	234577	34
436209	436210	34
465996	465992	34
280227	280226	33
613959	613961	33
96744	96747	32
96744	96749	32
116442	116445	32
234583	234650	32
280227	280225	32
777254	777251	32
122846	122850	31
96744	96755	30
754400	754401	30
96744	96743	29
96744	96776	29
96744	96753	29
234583	234582	29
234583	234573	29
234583	234571	29
234583	234590	29
754400	754407	29
116442	116439	28
234583	234589	28
234583	234599	28
465996	465997	28
465996	466000	28
754400	754403	28
52174	52173	27
67868	67869	27
116442	116438	27
116442	116436	27
96744	96750	26
116442	116456	26
465996	465993	26
754400	754396	26
67868	67872	25
96744	96751	25
234583	234594	25
234583	234597	25
234583	234591	25
754400	754405	25
777250	777253	25
96744	96804	24
116442	116454	24
122846	122848	24
234583	234602	24
96744	96731	23
116442	116434	23
234583	234598	23
234583	234654	23
608973	608984	23
608973	608901	23
608973	608938	23
754400	754404	23
67868	67873	22
67868	67877	22
96744	96739	22
96744	96719	22
96744	96769	22
96744	96754	22
116442	116449	22
465996	465986	22
52174	52180	21
67868	67864	21
96744	96802	21
96744	96759	21
116442	116447	21
234583	234600	21
234583	234593	21
754400	754394	21
96744	96764	20
96744	96756	20
96744	96696	20
96744	96695	20
96744	96758	20
234583	234568	20
234583	234596	20
234583	234607	20
234583	234606	20
234583	234647	20
252022	252029	20
465996	466004	20
465996	465990	20
465996	465968	20
608973	608969	20
777250	777251	20
777254	777252	20
67868	67879	19
96744	96795	19
96744	96798	19
234583	234574	19
234583	234603	19
234583	234645	19
608973	608983	19
608973	608986	19
754400	754395	19
754400	754415	19
754400	754397	19
777250	777254	19
52174	52178	18
52174	52176	18
67868	67892	18
96744	96736	18
96744	96779	18
96744	96801	18
96744	96768	18
116442	116452	18
122846	122842	18
234583	234564	18
608973	608936	18
609296	609297	18
777250	777252	18
67868	67903	17
96744	96732	17
96744	96733	17
96744	96783	17
96744	96720	17
116442	116437	17
122846	122849	17
234583	234575	17
234583	234563	17
234583	234848	17
252022	252028	17
280227	280218	17
465996	465991	17
465996	465983	17
608973	608968	17
608973	608903	17
777254	777259	17
52174	52172	16
67868	67867	16
67868	67871	16
96744	96765	16
96744	96806	16
96744	96808	16
96744	96757	16
96744	96730	16
96744	96767	16
116442	116451	16
234583	234559	16
234583	234620	16
234583	234604	16
234583	234651	16
234583	234616	16
234583	234655	16
608973	608988	16
608973	608905	16
754400	754399	16
777254	777257	16
52174	52170	15
67868	67952	15
96744	96797	15
96744	96774	15
96744	96803	15
96744	96727	15
96744	96760	15
96744	96796	15
116442	116430	15
116442	116448	15
465996	465969	15
465996	466003	15
485207	485228	15
608973	609297	15
777254	777253	15
52174	52177	14
67868	67949	14
67868	67876	14
67868	67850	14
96744	96800	14
96744	96740	14
96744	96701	14
96744	96726	14
234583	234619	14
234583	234572	14
255348	255349	14
280227	280223	14
280227	280219	14
465996	465976	14
465996	465987	14
465996	466001	14
613959	613960	14
754400	754393	14
754400	754408	14
754400	754406	14
52174	52183	13
52174	52165	13
67868	67894	13
96744	96807	13
96744	96762	13
96744	96781	13
96744	96811	13
96744	96694	13
116442	116435	13
116442	116450	13
116442	116428	13
158037	158028	13
234583	234570	13
234583	234608	13
234583	234610	13
234583	234609	13
252022	252021	13
252022	252027	13
255348	255351	13
280227	280224	13
436209	436207	13
465996	466017	13
465996	466015	13
465996	465984	13
465996	466002	13
465996	466014	13
485207	485208	13
577412	577431	13
608973	608940	13
777254	777255	13
52174	52175	12
67868	67874	12
67868	67884	12
67868	67866	12
96744	96786	12
96744	96799	12
96744	96794	12
116442	116463	12
116442	116432	12
116442	116455	12
234583	234561	12
234583	234565	12
234583	234658	12
234583	234644	12
234583	234605	12
234583	234699	12
252022	252030	12
252022	252040	12
252022	252035	12
608973	608985	12
608973	608934	12
754400	754424	12
777254	777263	12
67868	67849	11
67868	67881	11
96744	96703	11
96744	96684	11
96744	96690	11
96744	96793	11
96744	96702	11
96744	96772	11
96744	96735	11
96744	96655	11
96744	96809	11
96744	96712	11
96744	96782	11
96744	96789	11
116442	116453	11
122846	122843	11
234583	234566	11
234583	234569	11
234583	234560	11
234583	234628	11
234583	234601	11
234583	234611	11
234583	234643	11
234583	234653	11
280227	280248	11
465996	466011	11
465996	465978	11
465996	465988	11
465996	465977	11
465996	466005	11
465996	465985	11
465996	465974	11
465996	466013	11
608973	608883	11
608973	608935	11
608973	608939	11
608973	608941	11
608973	608890	11
754400	754414	11
777250	777256	11
52174	52057	10
52174	52164	10
52174	52168	10
67868	67956	10
67868	67885	10
67868	67889	10
67868	67902	10
67868	67863	10
67868	67904	10
67868	67946	10
96744	96716	10
96744	96646	10
96744	96700	10
96744	96691	10
96744	96773	10
96744	96777	10
96744	96805	10
116442	116460	10
116442	116446	10
234583	234567	10
234583	234622	10
234583	234652	10
280227	280243	10
280227	280228	10
280227	280220	10
436209	436208	10
465996	466007	10
465996	466039	10
465996	465973	10
465996	466018	10
465996	465975	10
465996	465970	10
465996	466026	10
465996	466021	10
465996	465966	10
465996	466023	10
577412	577409	10
577412	577377	10
608973	608933	10
608973	608959	10
608973	608849	10
608973	609271	10
754400	754456	10
754400	754469	10
754400	754461	10
52174	52171	9
52174	52185	9
67868	67862	9
67868	67844	9
67868	67887	9
67868	67942	9
67868	67919	9
67868	67947	9
67868	67939	9
67868	67911	9
67868	67840	9
67868	67899	9
67868	67950	9
96744	96660	9
96744	96787	9
96744	96658	9
96744	96661	9
96744	96721	9
96744	96775	9
96744	96718	9
96744	96763	9
116442	116429	9
116442	116338	9
122846	122838	9
122846	122841	9
234583	234639	9
234583	234617	9
234583	234623	9
234583	234685	9
234583	234614	9
234583	234688	9
252022	252019	9
252022	251996	9
252022	252031	9
436209	436211	9
465996	466025	9
465996	466006	9
465996	466030	9
465996	465979	9
465996	465989	9
465996	465981	9
465996	466028	9
577412	577499	9
608973	608950	9
608973	608900	9
608973	608904	9
608973	608911	9
608973	608991	9
608973	608949	9
608973	608847	9
608973	608895	9
608973	608994	9
754400	754386	9
754400	754421	9
754400	754464	9
754400	754411	9
754400	754410	9
754400	754391	9
777250	777259	9
52174	52186	8
67868	67918	8
67868	67883	8
67868	67875	8
67868	67842	8
67868	67937	8
96744	96621	8
96744	96706	8
96744	96676	8
96744	96788	8
96744	96710	8
96744	96812	8
96744	96699	8
96744	96685	8
96744	96622	8
96744	96784	8
96744	96679	8
96744	96770	8
96744	96640	8
96744	96766	8
116442	116457	8
116442	116335	8
116442	116475	8
116442	116473	8
234583	234681	8
234583	234554	8
234583	234595	8
234583	234846	8
234583	234725	8
234583	234847	8
234583	234686	8
234583	234668	8
234583	234678	8
234583	234633	8
234583	234691	8
234583	234629	8
252022	251922	8
252022	252034	8
252022	252014	8
252022	252010	8
252022	252032	8
255348	255362	8
255348	255367	8
280227	280216	8
280227	280221	8
436209	436212	8
465996	465982	8
465996	466019	8
465996	466010	8
608973	608908	8
608973	608923	8
608973	608989	8
608973	608846	8
608973	608956	8
608973	608885	8
608973	608992	8
608973	608857	8
613959	613968	8
754400	754388	8
52174	52163	7
52174	52181	7
52174	52141	7
67868	68061	7
67868	67834	7
67868	67913	7
67868	67922	7
67868	67917	7
67868	67890	7
67868	67891	7
67868	67938	7
96744	96659	7
96744	96728	7
96744	96688	7
96744	96629	7
96744	96692	7
96744	96674	7
96744	96697	7
96744	96709	7
96744	96698	7
96744	96672	7
96744	96652	7
96744	96778	7
96744	96752	7
116442	116477	7
116442	116340	7
116442	116431	7
116442	116459	7
116442	116462	7
116442	116458	7
116442	116512	7
116442	116433	7
158037	158053	7
234583	234702	7
234583	234693	7
234583	234854	7
234583	234613	7
234583	234849	7
234583	234701	7
234583	234689	7
234583	234641	7
234583	234773	7
252022	252001	7
252022	252006	7
252022	251999	7
252022	251910	7
255348	255365	7
255348	255371	7
280227	280207	7
280227	280239	7
280227	280260	7
280227	280214	7
280227	280229	7
280227	280201	7
436209	436206	7
436209	436281	7
465996	465971	7
465996	466036	7
465996	466012	7
465996	465962	7
577412	577408	7
577412	577486	7
577412	577356	7
608973	608899	7
608973	608848	7
608973	608909	7
608973	608942	7
608973	608902	7
608973	608912	7
608973	608967	7
608973	608855	7
608973	608906	7
608973	609046	7
608973	609003	7
608973	608960	7
613959	613962	7
754400	754512	7
754400	754422	7
754400	754490	7
754400	754434	7
754400	754463	7
754400	754392	7
754400	754492	7
754400	754466	7
754400	754372	7
754400	754486	7
777250	777257	7
777254	777274	7
777254	777268	7
52174	52074	6
52174	52190	6
52174	52192	6
52174	52195	6
52174	52187	6
52174	52179	6
52174	52095	6
67868	67853	6
67868	67865	6
67868	67851	6
67868	67897	6
67868	67924	6
67868	67895	6
67868	67843	6
67868	67928	6
67868	67930	6
67868	67797	6
67868	67856	6
67868	67859	6
67868	67948	6
67868	67835	6
67868	67882	6
67868	67847	6
67868	67857	6
67868	67940	6
67868	67855	6
67868	67935	6
67868	67813	6
67868	67923	6
96744	96734	6
96744	96669	6
96744	96881	6
96744	96818	6
96744	96705	6
96744	96761	6
96744	96873	6
96744	96708	6
96744	96643	6
96744	96689	6
96744	96636	6
96744	96644	6
96744	96810	6
96744	96671	6
96744	96670	6
96744	96630	6
116442	116331	6
116442	116514	6
116442	116464	6
116442	116508	6
116442	116472	6
122846	122845	6
122846	122844	6
122846	122853	6
122846	122840	6
158037	158089	6
234583	234659	6
234583	234690	6
234583	234698	6
234583	234666	6
234583	234850	6
234583	234667	6
234583	234537	6
234583	234683	6
234583	234700	6
234583	234674	6
250237	250211	6
252022	251993	6
252022	252039	6
252022	251935	6
252022	251963	6
252022	251944	6
255348	255364	6
280227	280205	6
280227	280231	6
436209	436390	6
436209	436216	6
465996	466033	6
465996	466037	6
465996	465950	6
608973	608921	6
608973	608993	6
608973	609188	6
608973	608951	6
608973	608925	6
608973	608944	6
608973	608864	6
608973	609135	6
608973	609026	6
608973	608966	6
608973	609075	6
608973	609063	6
608973	608929	6
608973	608850	6
608973	608990	6
608973	609089	6
608973	608931	6
608973	608930	6
608973	608957	6
608973	609010	6
613959	613965	6
613959	614136	6
754400	754365	6
754400	754495	6
754400	754455	6
754400	754473	6
754400	754426	6
754400	754430	6
754400	754417	6
754400	754419	6
754400	754416	6
754400	754433	6
754400	754506	6
52174	52193	5
52174	52053	5
52174	52080	5
52174	52162	5
52174	52167	5
52174	52188	5
52174	52169	5
67868	67905	5
67868	68068	5
67868	67846	5
67868	67886	5
67868	67878	5
67868	67880	5
67868	67962	5
67868	67888	5
67868	67860	5
67868	67941	5
67868	67914	5
67868	67841	5
67868	67972	5
67868	67920	5
67868	67909	5
67868	67832	5
67868	67893	5
67868	67780	5
67868	67901	5
67868	67944	5
67868	67932	5
96744	96711	5
96744	96681	5
