baitID	preyID	N
234583	234586	406
608973	608971	392
234583	234585	308
608973	608977	298
577412	577411	294
252022	252025	269
608973	608976	250
234583	234584	236
252022	252026	227
608973	608970	203
234583	234581	198
188056	188054	192
252022	252024	180
608973	608974	166
608973	608978	165
465996	465998	151
608973	608975	150
252022	252023	143
777254	777256	136
608973	608972	135
96744	96746	133
465996	465999	133
116442	116444	131
158037	158036	128
96744	96745	124
234583	234580	117
158037	158038	114
234583	234649	112
608973	608979	112
436209	436210	111
608973	608981	110
777254	777251	107
465996	465997	106
608973	608982	103
96744	96742	98
158037	158041	97
465996	465994	97
754400	754402	96
234583	234648	93
608973	608980	93
234583	234579	87
613959	613961	84
116442	116443	82
608973	608937	82
234583	234587	81
116442	116445	77
234583	234592	75
608973	608983	75
67868	67870	74
754400	754403	74
96744	96748	73
116442	116440	72
96744	96738	71
234583	234596	71
234583	234646	71
234583	234582	70
465996	465995	70
116442	116441	68
234583	234593	68
67868	67869	65
96744	96747	64
234583	234650	64
280227	280226	64
465996	465993	64
96744	96743	63
96744	96749	63
96744	96750	63
116442	116439	63
234583	234588	62
234583	234578	62
234583	234590	62
608973	608984	62
96744	96803	61
96744	96737	60
96744	96755	59
96744	96751	59
116442	116449	59
67868	67872	58
96744	96741	58
465996	466000	58
52174	52176	57
234583	234589	56
234583	234647	56
754400	754401	56
234583	234597	55
234583	234651	55
255348	255350	55
52174	52172	54
234583	234591	54
234583	234600	54
234583	234654	53
234583	234598	53
777250	777254	53
280227	280225	52
754400	754405	52
52174	52173	51
96744	96802	51
777254	777252	51
96744	96753	49
234583	234602	49
252022	252028	49
754400	754398	49
777250	777253	49
96744	96801	48
96744	96757	48
116442	116438	47
234583	234599	47
436209	436207	47
252022	252029	46
96744	96769	45
234583	234573	45
52174	52178	44
96744	96776	44
252022	252027	44
96744	96764	43
96744	96754	43
777254	777259	43
96744	96756	42
122846	122850	42
436209	436211	42
465996	465992	42
52174	52175	41
96744	96739	41
608973	608986	41
52174	52180	40
608973	608904	40
96744	96804	39
234583	234577	39
234583	234603	39
608973	608936	39
96744	96798	38
96744	96796	38
122846	122848	38
234583	234605	38
777250	777251	38
252022	252030	37
436209	436208	37
608973	608969	37
52174	52177	36
234583	234606	36
754400	754396	36
67868	67867	35
67868	67877	35
116442	116434	35
116442	116435	35
613959	613960	35
96744	96736	34
96744	96800	34
96744	96805	34
116442	116451	34
234583	234645	34
280227	280218	34
608973	608901	34
609296	609297	34
754400	754397	34
777254	777257	34
96744	96768	33
234583	234700	33
234583	234594	33
577412	577431	33
67868	67873	32
96744	96775	32
96744	96799	32
116442	116452	32
234583	234575	32
234583	234604	32
485207	485228	32
577412	577377	32
608973	608850	32
608973	608988	32
52174	52170	31
52174	52179	31
96744	96690	31
96744	96806	31
96744	96807	31
116442	116456	31
116442	116448	31
234583	234566	31
234583	234571	31
465996	465987	31
754400	754399	31
67868	67850	30
96744	96809	30
116442	116454	30
234583	234652	30
252022	252018	30
608973	608939	30
777254	777253	30
67868	67849	29
96744	96720	29
96744	96783	29
96744	96789	29
116442	116446	29
122846	122849	29
234583	234601	29
96744	96765	28
96744	96702	28
234583	234574	28
252022	252020	28
252022	252031	28
608973	608968	28
754400	754404	28
52174	52171	27
67868	67876	27
96744	96797	27
577412	577499	27
608973	608938	27
777250	777252	27
96744	96733	26
96744	96787	26
96744	96698	26
96744	96695	26
96744	96774	26
96744	96794	26
96744	96713	26
234583	234559	26
234583	234576	26
465996	465968	26
754400	754407	26
52174	52185	25
67868	67871	25
96744	96718	25
96744	96762	25
96744	96740	25
96744	96760	25
234583	234608	25
252022	252021	25
252022	252032	25
255348	255349	25
280227	280224	25
465996	465989	25
608973	608985	25
754400	754411	25
96744	96780	24
96744	96758	24
96744	96731	24
96744	96692	24
96744	96772	24
96744	96779	24
234583	234565	24
252022	252035	24
436209	436206	24
465996	465986	24
465996	465990	24
465996	466001	24
465996	466002	24
608973	608903	24
608973	608902	24
754400	754395	24
52174	52165	23
67868	67879	23
96744	96808	23
96744	96759	23
96744	96811	23
96744	96795	23
116442	116447	23
116442	116436	23
116442	116455	23
234583	234609	23
234583	234595	23
465996	466006	23
577412	577408	23
577412	577410	23
608973	608900	23
67868	67864	22
67868	67919	22
96744	96730	22
96744	96763	22
96744	96777	22
116442	116437	22
234583	234568	22
234583	234622	22
465996	465988	22
465996	465991	22
608973	608847	22
608973	608905	22
608973	608935	22
754400	754413	22
96744	96696	21
96744	96734	21
96744	96712	21
234583	234621	21
234583	234558	21
234583	234701	21
234583	234848	21
465996	465985	21
608973	608940	21
754400	754421	21
754400	754408	21
96744	96785	20
96744	96773	20
96744	96697	20
96744	96786	20
96744	96727	20
96744	96735	20
96744	96782	20
96744	96781	20
234583	234564	20
234583	234607	20
234583	234653	20
252022	252013	20
252022	251955	20
465996	466003	20
608973	608989	20
608973	608898	20
608973	608934	20
608973	608933	20
608973	608941	20
754400	754414	20
754400	754406	20
777254	777255	20
67868	67939	19
67868	67951	19
96744	96788	19
96744	96704	19
96744	96658	19
96744	96694	19
234583	234702	19
234583	234710	19
234583	234614	19
234583	234619	19
234583	234655	19
252022	252036	19
252022	252034	19
255348	255351	19
280227	280228	19
465996	465969	19
485207	485208	19
608973	608849	19
608973	608911	19
608973	608925	19
608973	608994	19
754400	754410	19
52174	52168	18
52174	52169	18
67868	67934	18
67868	67942	18
67868	67866	18
96744	96728	18
96744	96761	18
96744	96784	18
116442	116475	18
234583	234561	18
234583	234610	18
252022	252010	18
252022	252011	18
252022	252001	18
280227	280219	18
465996	465978	18
465996	466013	18
465996	466004	18
465996	466012	18
608973	609297	18
608973	608946	18
608973	608966	18
608973	608942	18
608973	608967	18
608973	608959	18
754400	754391	18
754400	754415	18
754400	754409	18
67868	67894	17
67868	67941	17
67868	67848	17
67868	67948	17
67868	67874	17
96744	96707	17
96744	96732	17
96744	96684	17
96744	96655	17
116442	116428	17
122846	122843	17
158037	158028	17
234583	234567	17
280227	280239	17
465996	465970	17
608973	608991	17
608973	608990	17
608973	608908	17
613959	613965	17
52174	52074	16
52174	52183	16
67868	67940	16
67868	67856	16
67868	67910	16
96744	96729	16
96744	96669	16
96744	96650	16
96744	96686	16
96744	96703	16
122846	122842	16
234583	234563	16
234583	234569	16
234583	234699	16
252022	252019	16
252022	252016	16
252022	252038	16
280227	280229	16
465996	465977	16
465996	466009	16
608973	608927	16
608973	608894	16
608973	608955	16
608973	608947	16
608973	608924	16
608973	608897	16
608973	608965	16
608973	608906	16
754400	754392	16
754400	754448	16
754400	754358	16
754400	754485	16
754400	754393	16
777250	777256	16
777254	777263	16
67868	67895	15
67868	67882	15
67868	67950	15
67868	67889	15
67868	67949	15
67868	67875	15
67868	67862	15
67868	67918	15
67868	67863	15
67868	67906	15
96744	96778	15
96744	96812	15
96744	96659	15
96744	96640	15
96744	96710	15
96744	96701	15
116442	116460	15
116442	116450	15
122846	122838	15
122846	122847	15
122846	122841	15
234583	234693	15
234583	234560	15
234583	234641	15
234583	234616	15
234583	234628	15
252022	251967	15
465996	466039	15
465996	465975	15
608973	608896	15
608973	608891	15
608973	608951	15
608973	608910	15
754400	754430	15
777250	777257	15
52174	52162	14
67868	67860	14
67868	67840	14
67868	67902	14
67868	67853	14
67868	67952	14
67868	67953	14
