baitID	preyID	N
252022	252035	17
465996	465982	17
608973	608898	17
608973	608935	17
754400	754414	17
754400	754415	17
754400	754413	17
777250	777263	17
52174	52167	16
52174	52183	16
67868	67854	16
67868	67856	16
67868	67952	16
67868	67894	16
96744	96810	16
96744	96715	16
96744	96778	16
96744	96702	16
96744	96677	16
96744	96773	16
96744	96655	16
96744	96775	16
116442	116450	16
116442	116455	16
122846	122847	16
122846	122853	16
122846	122839	16
158037	158053	16
234583	234656	16
234583	234632	16
234583	234775	16
255348	255366	16
280227	280214	16
465996	466012	16
608973	608940	16
608973	608902	16
608973	608909	16
754400	754389	16
754400	754458	16
777250	777258	16
777249	777254	16
52174	52181	15
67868	67940	15
67868	67906	15
67868	67939	15
67868	67889	15
67868	67948	15
67868	67942	15
67868	67951	15
96744	96815	15
96744	96660	15
96744	96813	15
96744	96782	15
116442	116460	15
122846	122844	15
234583	234630	15
234583	234653	15
234583	234608	15
234583	234610	15
234583	234622	15
252022	252015	15
252022	252007	15
252022	251997	15
280227	280260	15
280227	280207	15
280227	280228	15
280227	280219	15
465996	466020	15
465996	466007	15
465996	466015	15
465996	465979	15
485207	485208	15
577412	577408	15
608973	608943	15
608973	608864	15
608973	608908	15
608973	608931	15
608973	608924	15
608973	608848	15
754400	754380	15
52174	52166	14
52174	52165	14
67868	67946	14
67868	67864	14
67868	67891	14
67868	67863	14
67868	67954	14
96744	96653	14
96744	96793	14
96744	96690	14
96744	96670	14
96744	96812	14
96744	96811	14
96744	96722	14
96744	96683	14
96744	96703	14
96744	96622	14
96744	96726	14
116442	116459	14
158037	158096	14
234583	234623	14
234583	234628	14
234583	234556	14
234583	234665	14
234583	234609	14
252022	251993	14
252022	252011	14
252022	252006	14
252022	252043	14
252022	252040	14
252022	251984	14
255348	255359	14
280227	280243	14
280227	280222	14
280227	280220	14
436209	436281	14
465996	465967	14
465996	465961	14
608973	608913	14
608973	608906	14
711801	711802	14
754400	754388	14
754400	754464	14
754400	754355	14
754400	754419	14
754400	754409	14
777254	777274	14
67868	67938	13
67868	67922	13
67868	67884	13
67868	67953	13
96744	96791	13
96744	96882	13
