Contrast	PearsonR	SpearmanR
High_Assay22_Assay23	0.7585908114217794	0.7214775023506439
High_Assay22_Assay24	0.7300423194932801	0.7351731612357607
High_Assay23_Assay24	0.6977318203934904	0.6957717718069321
Middle_Assay22_Assay23	0.7937009561057558	0.7605186568949601
Middle_Assay22_Assay24	0.7908590174617115	0.7855761463538624
Middle_Assay23_Assay24	0.7528397049659731	0.7410594337618949
Low_Assay22_Assay23	0.7763285316897051	0.7727587776922792
Low_Assay22_Assay24	0.7275156918248171	0.7314001700554795
Low_Assay23_Assay24	0.751844111094734	0.7467756757400908
Unsorted_Assay22_Assay23	0.773190596311509	0.7975716477493768
Unsorted_Assay22_Assay24	0.6636824865085665	0.7375748771650965
Unsorted_Assay23_Assay24	0.8063854329948975	0.8254412500924783
