Contrast	PearsonR	SpearmanR
High_Assay22_Assay23	0.43579894282246195	0.4149545959661782
High_Assay22_Assay24	0.4932805999001009	0.49134096486097123
High_Assay23_Assay24	0.4683683297664154	0.44767641713413403
Middle_Assay22_Assay23	0.5100356112166275	0.4787685603951218
Middle_Assay22_Assay24	0.5475352948268726	0.5473521397971445
Middle_Assay23_Assay24	0.46822627968754654	0.4553911081646913
Low_Assay22_Assay23	0.4996810021467205	0.49602906656790174
Low_Assay22_Assay24	0.43781163053221006	0.446444400990681
Low_Assay23_Assay24	0.5121406487401015	0.5067727462976009
Unsorted_Assay22_Assay23	0.546592249962195	0.5519868312775464
Unsorted_Assay22_Assay24	0.43040579529136835	0.40128427594590654
Unsorted_Assay23_Assay24	0.47899962965655035	0.48590140771707635
